start_station_name,trip_count,latitude,longitude
2112 W Peterson Ave,456,41.99117800000001,-87.683593
63rd St Beach,956,41.781016371999996,-87.57611976
900 W Harrison St,6187,41.874754,-87.649807
Aberdeen St & Jackson Blvd,12056,41.87772613,-87.65478743
Aberdeen St & Monroe St,9875,41.880419,-87.655519
Aberdeen St & Randolph St,6602,41.884114,-87.654264
Ada St & Washington Blvd,7811,41.88283,-87.661206
Adler Planetarium,14953,41.866095,-87.60726700000002
Albany Ave & 26th St,195,41.844475014000004,-87.702013013
Albany Ave & Bloomingdale Ave,3808,41.914026713,-87.70512646200001
Albany Ave & Montrose Ave,751,41.961041,-87.705866
Artesian Ave & Hubbard St,5306,41.88949182,-87.688219365
Ashland Ave & 13th St,2261,41.865234,-87.666507
Ashland Ave & 21st St,1005,41.85381,-87.665897
Ashland Ave & 50th St,82,41.803023,-87.664699
Ashland Ave & 63rd St,73,41.779374,-87.664843
Ashland Ave & 66th St,15,41.774074,-87.663815
Ashland Ave & 69th St,83,41.768726,-87.664069
Ashland Ave & Archer Ave,483,41.839208684,-87.665609859
Ashland Ave & Augusta Blvd,5672,41.899643,-87.6677
Ashland Ave & Belle Plaine Ave,1444,41.956057,-87.668835
Ashland Ave & Blackhawk St,6925,41.907066,-87.667252
Ashland Ave & Chicago Ave,6521,41.895966,-87.66774699999998
Ashland Ave & Division St,17460,41.90345,-87.66774699999998
Ashland Ave & Garfield Blvd,23,41.792822,-87.664429
Ashland Ave & Grace St,4258,41.950687,-87.6687
Ashland Ave & Grand Ave,3970,41.891072,-87.666611
Ashland Ave & Lake St (Temp),4566,41.88592,-87.66717
Ashland Ave & McDowell Ave,350,41.80887,-87.66454
Ashland Ave & Pershing Rd,261,41.823465,-87.665577
Ashland Ave & Wellington Ave,3334,41.936083,-87.66980699999998
Ashland Ave & Wrightwood Ave,4449,41.92883,-87.66850699999998
Austin Blvd & Chicago Ave,122,41.894887,-87.774704
Austin Blvd & Lake St,380,41.887919,-87.774446
Austin Blvd & Madison St,150,41.880281,-87.77445300000002
Avers Ave & Belmont Ave,968,41.939408,-87.723574
Avondale Ave & Irving Park Rd,1679,41.953393,-87.73200200000002
Bennett Ave & 79th St,72,41.751785,-87.578496
Benson Ave & Church St,4971,42.048214,-87.683485
Bernard St & Elston Ave,43,41.949923,-87.713949
Bissell St & Armitage Ave,12895,41.91844,-87.65222
Blackstone Ave & Hyde Park Blvd,3196,41.802562,-87.59036800000001
Blue Island Ave & 18th St,5208,41.857556,-87.661535
Bosworth Ave & Howard St,714,42.019537,-87.669563
Broadway & Argyle St,4907,41.973815,-87.65966
Broadway & Barry Ave,15840,41.937725,-87.644095
Broadway & Belmont Ave,10554,41.940106,-87.645451
Broadway & Berwyn Ave,5529,41.97835300000001,-87.65975300000002
Broadway & Cornelia Ave,11231,41.945529,-87.646439
Broadway & Granville Ave,4069,41.994779688,-87.660284535
Broadway & Ridge Ave,4044,41.984044611,-87.66027382899998
Broadway & Sheridan Rd,5920,41.952833,-87.64999300000002
Broadway & Thorndale Ave,3944,41.989742510999996,-87.66014062100002
Broadway & Waveland Ave,9141,41.949074,-87.648636
Broadway & Wilson Ave,5941,41.965221,-87.658139
Buckingham Fountain,9062,41.87647,-87.62034
Budlong Woods Library,447,41.983664709,-87.696422561
Burling St (Halsted) & Diversey Pkwy (Temp),7488,41.93314,-87.64775999999998
Burnham Harbor,11544,41.856268,-87.613348
California Ave & 21st St,973,41.854016,-87.69544499999998
California Ave & 23rd Pl,898,41.849109692,-87.695139807
California Ave & 26th St,325,41.844040031,-87.69529592299999
California Ave & Altgeld St,2867,41.92669,-87.69766800000002
California Ave & Byron St,1305,41.952162193,-87.69805111299999
California Ave & Cortez St,3828,41.900363,-87.696704
California Ave & Division St,2024,41.903029,-87.697474
California Ave & Fletcher St,1609,41.938428791,-87.69800775600002
California Ave & Francis Pl,3355,41.918121,-87.696972
California Ave & Lake St,606,41.884453957,-87.69629813700001
California Ave & Milwaukee Ave,9724,41.922695,-87.697153
California Ave & Montrose Ave,1261,41.961068,-87.69543900000002
California Ave & North Ave,2356,41.91044,-87.6972
Calumet Ave & 18th St,7590,41.857611,-87.619407
Calumet Ave & 21st St,3371,41.854184249,-87.619153741
Calumet Ave & 33rd St,3126,41.8349,-87.61793
Calumet Ave & 35th St,968,41.831379,-87.618034
Calumet Ave & 51st St,541,41.802294651,-87.61805358
Calumet Ave & 71st St,47,41.765508006,-87.616917925
Campbell Ave & Fullerton Ave,2571,41.924632472,-87.689307006
Campbell Ave & Montrose Ave,2274,41.961525933000004,-87.691165041
Campbell Ave & North Ave,3302,41.910535,-87.68955600000002
Canal St & Adams St,62654,41.879255,-87.639904
Canal St & Harrison St,3662,41.874255,-87.639573
Canal St & Jackson Blvd,11981,41.877245,-87.63936600000002
Canal St & Madison St,34188,41.882091,-87.639833
Canal St & Monroe St (*),14039,41.880381,-87.639507
Canal St & Taylor St,7620,41.870257,-87.63947399999998
Cannon Dr & Fullerton Ave,6162,41.926755988000004,-87.634428785
Carpenter St & 63rd St,2,41.77987,-87.65091899999999
Carpenter St & Huron St,6013,41.894556,-87.653449
Central Ave & Chicago Ave,43,41.894958,-87.764902
Central Ave & Harrison St,67,41.872993,-87.764499
Central Ave & Lake St,104,41.887664,-87.765469
Central Ave & Madison St,29,41.880121,-87.763238
Central Park Ave & 24th St,149,41.8481,-87.715068
Central Park Ave & Bloomingdale Ave,175,41.914166,-87.716755
Central Park Ave & Elbridge Ave,1327,41.935337283,-87.716889294
Central Park Ave & North Ave,1343,41.909656876,-87.71663195200001
Central Park Ave & Ogden Ave,246,41.854204313000004,-87.715405838
Central Park Blvd & 5th Ave,61,41.875679,-87.71547
Central St & Girard Ave,1213,42.064313,-87.686152
Central St Metra,1144,42.063598,-87.69873
Chicago Ave & Dempster St,1849,42.041691,-87.680687
Chicago Ave & Sheridan Rd,2417,42.050491,-87.677821
Chicago Ave & Washington St,2991,42.032562,-87.679101
Christiana Ave & Lawrence Ave,1334,41.968354494,-87.711830667
Cicero Ave & Flournoy St,25,41.872131,-87.746619
Cicero Ave & Lake St,54,41.886841,-87.745261
Cicero Ave & Quincy St,33,41.877613,-87.745405
Cityfront Plaza Dr & Pioneer Ct,13036,41.890573,-87.622072
Claremont Ave & Hirsch St,2895,41.907781,-87.685854
Clarendon Ave & Gordon Ter,7388,41.957879,-87.649519
Clarendon Ave & Junior Ter,5002,41.961004,-87.649603
Clarendon Ave & Leland Ave,3817,41.967968,-87.650001
Clark St & 9th St (AMLI),4283,41.870816,-87.63124599999998
