start_station_name,trip_count,latitude,longitude
Aberdeen St & Jackson Blvd,6939,41.87772613,-87.65478743
Ada St & Washington Blvd,5718,41.88283,-87.661206
Adler Planetarium,14640,41.866095,-87.60726700000002
Ashland Ave & 13th St,1012,41.865234,-87.666507
Ashland Ave & 21st St,583,41.85381,-87.665897
Ashland Ave & Augusta Blvd,3921,41.899643,-87.6677
Ashland Ave & Belle Plaine Ave,2233,41.956057,-87.668835
Ashland Ave & Blackhawk St,4794,41.907066,-87.667252
Ashland Ave & Chicago Ave,4460,41.895966,-87.66774699999998
Ashland Ave & Division St,10357,41.90345,-87.66774699999998
Ashland Ave & Grace St,4289,41.950687,-87.6687
Ashland Ave & Grand Ave,3049,41.891072,-87.666611
Ashland Ave & Wellington Ave,3226,41.936083,-87.66980699999998
Ashland Ave & Wrightwood Ave,3331,41.92883,-87.66850699999998
Bissell St & Armitage Ave,8840,41.91844,-87.65222
Blackstone Ave & Hyde Park Blvd,2294,41.802562,-87.59036800000001
Blue Island Ave & 18th St,3917,41.857556,-87.661535
Broadway & Argyle St,2902,41.973815,-87.65966
Broadway & Barry Ave,9208,41.937725,-87.644095
Broadway & Belmont Ave,8451,41.940106,-87.645451
Broadway & Berwyn Ave,4921,41.97835300000001,-87.65975300000002
Broadway & Cornelia Ave,9144,41.945529,-87.646439
Broadway & Sheridan Rd,4592,41.952833,-87.64999300000002
Broadway & Wilson Ave,3104,41.965221,-87.658139
California Ave & 21st St,585,41.854016,-87.69544499999998
California Ave & Division St,3074,41.903029,-87.697474
California Ave & Francis Pl,3561,41.918121,-87.696972
California Ave & Milwaukee Ave,7322,41.922695,-87.697153
California Ave & North Ave,3072,41.91044,-87.6972
Calumet Ave & 18th St,8663,41.857611,-87.619407
Calumet Ave & 33rd St,1134,41.8349,-87.61793
Calumet Ave & 35th St,489,41.831379,-87.618034
Campbell Ave & North Ave,3328,41.910535,-87.68955600000002
Canal St & Adams St,30165,41.879255,-87.639904
Canal St & Harrison St,3478,41.874255,-87.639573
Canal St & Jackson Blvd,19008,41.877245,-87.63936600000002
Canal St & Madison St,30277,41.882091,-87.639833
Cannon Dr & Fullerton Ave,8623,41.926755988000004,-87.634428785
Carpenter St & Huron St,4564,41.894556,-87.653449
Cityfront Plaza Dr & Pioneer Ct,6391,41.890573,-87.622072
Claremont Ave & Hirsch St,1520,41.907781,-87.685854
Clarendon Ave & Gordon Ter,4813,41.957879,-87.649519
Clarendon Ave & Junior Ter,5776,41.961004,-87.649603
Clarendon Ave & Leland Ave,3524,41.967968,-87.650001
Clark St & Armitage Ave,16476,41.918306,-87.636282
Clark St & Chicago Ave,9480,41.89675,-87.63089000000002
Clark St & Elm St,21395,41.902973,-87.63128
Clark St & Grace St,4229,41.95078,-87.659172
Clark St & Leland Ave,3412,41.96709600000001,-87.667429
Clark St & Lincoln Ave,15884,41.915689,-87.6346
Clark St & Montrose Ave,3741,41.961588,-87.666036
Clark St & North Ave,11296,41.911974,-87.63194200000002
Clark St & Randolph St,16104,41.884576228,-87.63188991
Clark St & Schiller St,13418,41.907993,-87.631501
Clark St & Wellington Ave,10144,41.936496821999995,-87.64753865799999
Clark St & Wrightwood Ave,12247,41.929546,-87.643118
Clifton Ave & Armitage Ave,6551,41.918216,-87.656936
Clinton St & 18th St,1950,41.85795,-87.640826
Clinton St & Lake St,16600,41.885637,-87.641823
Clinton St & Madison St,19411,41.882242,-87.64106600000002
Clinton St & Roosevelt Rd,6751,41.867117783000005,-87.64108795899998
Clinton St & Tilden St,5187,41.875885,-87.640795
Clinton St & Washington Blvd,37755,41.88338,-87.64116999999997
Clybourn Ave & Division St,4917,41.904613,-87.640552
Columbus Dr & Randolph St,26797,41.884728,-87.61952099999998
Cottage Grove Ave & 43rd St,460,41.816499,-87.60658199999997
Cottage Grove Ave & 47th St,289,41.809855,-87.606755
Cottage Grove Ave & 51st St,331,41.803038,-87.606615
Cottage Grove Ave & Oakwood Blvd,1279,41.822985,-87.6071
Daley Center Plaza,19584,41.884241,-87.629634
Damen Ave & Charleston St,3991,41.920082,-87.67785500000002
Damen Ave & Chicago Ave,8985,41.895769,-87.67721999999998
Damen Ave & Clybourn Ave,1403,41.931931,-87.677856
Damen Ave & Cortland St,6406,41.915983,-87.677335
Damen Ave & Coulter St,294,41.8492,-87.67564
Damen Ave & Cullerton St,1362,41.855048,-87.675726
Damen Ave & Division St,9210,41.903266,-87.678435
Damen Ave & Grand Ave,4567,41.89122,-87.67685999999998
Damen Ave & Leland Ave,3404,41.967094,-87.679028
Damen Ave & Madison St,2033,41.88137,-87.67493
Damen Ave & Melrose Ave,3051,41.9406,-87.6785
Damen Ave & Pierce Ave,14243,41.909396007,-87.67769192899998
Damen Ave & Sunnyside Ave,2457,41.96325,-87.67925799999998
Damen Ave & Wellington Ave,3389,41.93588,-87.67841999999997
Dayton St & North Ave,8811,41.910578035,-87.649421929
Dearborn Pkwy & Delaware Pl,15147,41.898969,-87.629912
Dearborn St & Adams St,19100,41.879356359,-87.629791036
Dearborn St & Monroe St,20298,41.881319815,-87.629520919
Desplaines St & Kinzie St,14529,41.888716036,-87.64444785299999
Eckhart Park,4466,41.89637337,-87.66098386
Ellis Ave & 58th St,3373,41.788746,-87.601334
Emerald Ave & 28th St,1826,41.84358,-87.645368
Emerald Ave & 31st St,2119,41.838198,-87.645143
Fairbanks Ct & Grand Ave,15164,41.89186,-87.62062
Fort Dearborn Dr & 31st St,10223,41.838556,-87.60821800000002
Franklin St & Chicago Ave,13305,41.896776,-87.635633
Franklin St & Jackson Blvd,18018,41.877707956,-87.635321141
Franklin St & Lake St,14042,41.885837,-87.6355
Franklin St & Quincy St,13549,41.878724,-87.634793
Green St & Randolph St,8810,41.883668,-87.64867
Greenview Ave & Diversey Pkwy,3021,41.932595,-87.665939
Greenview Ave & Fullerton Ave,4207,41.92533,-87.6658
Greenwood Ave & 47th St,1158,41.809835,-87.59938299999997
Halsted St & 18th St,2642,41.857499,-87.646277
Halsted St & 21st St,1271,41.85378,-87.64665
Halsted St & 37th St,403,41.82705900000001,-87.64572
Halsted St & Archer Ave,2303,41.847203,-87.646795
Halsted St & Dickens Ave,6575,41.919936,-87.64883
Halsted St & Maxwell St,4476,41.864883,-87.647071
Halsted St & Polk St,5498,41.87184,-87.64664
Halsted St & Roscoe St,8630,41.94367,-87.64895
Halsted St & Willow St,5199,41.913865,-87.64875500000002
Halsted St & Wrightwood Ave,7501,41.929143,-87.649077
